Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 6,SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.1086,13.3877
Image 7,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.5744,13.2877
Image 8,SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.0462,13.671
Image 9,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.5656,14.6431
Image 10,SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.3048,9.85736
Image 11,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.7648,14.9877
Image 12,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.2932,10.1
Image 13,SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.4032,9.22307
Image 14,SHITOMASI,SIFT,MAT_BF,SEL_KNN,10.1168,10.9678
Image 15,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.0179,8.09422
Image 16,SHITOMASI,SIFT,MAT_BF,SEL_KNN,10.3264,8.81392
Image 17,SHITOMASI,SIFT,MAT_BF,SEL_KNN,9.69235,10.2926
Image 18,SHITOMASI,SIFT,MAT_BF,SEL_KNN,8.65822,8.30978
Image 1,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0594,12.5604
Image 2,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0346,12.6628
Image 3,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.2907,16.2563
Image 4,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.083,13.834
Image 5,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.064,13.0305
Image 6,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.8048,13.3877
Image 7,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.0036,13.2877
Image 8,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.7689,13.671
Image 9,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.3622,14.6431
Image 10,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.2664,9.85736
Image 11,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.0391,14.9877
